timestamp,distance_m,yaw_deg
1758890365.6762044,0.09,3.0
1758890365.7265341,0.09,-1.93
1758890365.7768478,0.09,-7.34
1758890365.8271658,0.1,-12.29
1758890365.8775012,0.1,-17.68
1758890365.9279401,0.1,-22.63
1758890365.9782298,0.1,-28.04
1758890366.0285842,0.11,-32.99
1758890366.0788784,0.12,-38.38
1758890366.1292245,0.14,-43.34
1758890366.1795251,0.16,-48.73
1758890366.2299893,0.17,-53.68
1758890366.2803805,0.16,-59.09
1758890366.3308623,0.16,-64.04
1758890366.38136,0.15,-69.44
1758890366.4319654,0.15,-74.39
1758890366.4823954,0.15,-79.79
1758890366.532897,0.15,-84.74
1758890366.5835207,0.15,-90.14
1758890366.6340387,0.15,-95.09
1758890366.6844616,0.16,-100.49
1758890366.734878,0.16,-105.44
1758890366.7851794,0.17,-110.84
1758890366.8355703,0.17,-115.79
1758890366.885951,0.18,-121.19
1758890366.9364996,0.17,-126.14
1758890366.9870615,0.15,-131.54
1758890367.0374649,0.13,-136.49
1758890367.0879345,0.12,-141.88
1758890367.1384146,0.12,-145.94
1758890367.1888106,0.11,-148.63
1758890367.2393124,0.12,-150.44
1758890367.28969,0.11,-151.79
1758890367.3399804,0.11,-153.13
1758890367.390272,0.11,-154.04
1758890367.4407015,0.11,-155.38
1758890367.4911056,0.11,-156.29
1758890367.5414233,0.11,-156.74
1758890367.5917192,0.11,-157.63
1758890367.6419816,0.11,-160.49
1758890367.6923366,0.11,-160.03
1758890367.7426877,0.11,-159.13
1758890367.7930834,0.11,-158.69
1758890367.8434129,0.11,-157.78
1758890367.8936841,0.11,-156.44
1758890367.9438915,0.11,-155.53
1758890367.9941163,0.11,-154.19
1758890368.0443552,0.12,-152.83
1758890368.0945733,0.11,-151.49
1758890368.1447902,0.12,-148.78
1758890368.1950192,0.12,-144.74
1758890368.2452958,0.13,-139.33
1758890368.295602,0.14,-134.38
1758890368.3458512,0.15,-128.99
1758890368.39609,0.18,-124.04
1758890368.4463394,0.18,-118.63
1758890368.4965913,0.17,-113.69
1758890368.5468514,0.17,-108.29
1758890368.5970938,0.16,-103.33
1758890368.6474535,0.15,-97.94
1758890368.697765,0.15,-92.98
1758890368.7480133,0.15,-87.58
1758890368.798367,0.15,-82.63
1758890368.8486881,0.15,-77.23
1758890368.8989992,0.15,-72.28
1758890368.9492872,0.16,-66.88
1758890368.9995954,0.16,-61.94
1758890369.0498936,0.17,-56.54
1758890369.1002083,0.17,-51.59
1758890369.150506,0.15,-46.19
1758890369.2008026,0.13,-40.79
1758890369.2511246,0.12,-35.83
1758890369.3013737,0.11,-30.44
1758890369.3516111,0.1,-25.49
1758890369.4018445,0.1,-20.09
1758890369.4520829,0.1,-15.14
1758890369.5024014,0.09,-9.74
1758890369.5526314,0.09,-4.79
1758890369.60286,0.09,0.14
1758890369.653086,0.09,5.55
1758890369.7034738,0.09,10.5
1758890369.7542715,0.09,15.9
1758890369.805012,0.09,20.84
1758890369.8553276,0.1,26.24
1758890369.91155,0.1,31.19
1758890369.9619002,0.1,36.14
1758890370.0122802,0.1,41.55
1758890370.0626361,0.11,46.49
1758890370.119616,0.12,51.9
1758890370.175544,0.14,56.85
1758890370.2259235,0.17,62.24
1758890370.276301,0.18,67.2
1758890370.3267858,0.17,72.6
1758890370.3772247,0.16,77.55
1758890370.4277349,0.16,82.95
1758890370.4817004,0.16,87.9
1758890370.5356576,0.15,93.3
1758890370.5860686,0.15,98.25
1758890370.6364155,0.16,103.65
1758890370.6869345,0.16,108.6
1758890370.737368,0.16,114.0
1758890370.7876928,0.17,118.95
1758890370.8379605,0.18,124.35
1758890370.8882418,0.19,129.3
1758890370.9384909,0.18,134.7
1758890370.9887166,0.16,139.64
1758890371.0389998,0.15,144.6
1758890371.0892518,0.14,147.75
1758890371.1395006,0.13,150.0
1758890371.189752,0.13,151.35
1758890371.2400343,0.13,152.7
1758890371.2902849,0.12,153.6
1758890371.3405366,0.12,154.95
1758890371.3907561,0.12,155.85
1758890371.4410622,0.12,156.75
1758890371.4913037,0.12,157.2
1758890371.541602,0.12,160.04
1758890371.5918264,0.12,160.04
1758890371.6420562,0.12,159.14
1758890371.6923122,0.12,158.25
1758890371.742558,0.12,157.34
1758890371.7928123,0.12,156.45
1758890371.8430889,0.12,155.54
